E1001,codeit,2019-11-15,10:00 AM,1,201,80,1AM17CS102,,TECHNICAL,2,RED
E1002,fasion show,2019-11-15,5:00 PM,1,MAIN STAGE,800,1AM17CS103,,MAIN STAGE,8,GREEN
E1003,group singing,2019-11-15,10:00 AM,1,MAIN STAGE,400,1AM17CS104,,MAIN STAGE,5,BLUE
E1004,group dance,2019-11-15,11:00 AM,1,MAIN STAGE,500,1AM17CS105,,MAIN STAGE,6,YELLOW
E1005,solo singing,2019-11-15,12:00 PM,1,MAIN STAGE,100,1AM17CS106,,MAIN STAGE,1,ORANGE
E1006,solo dance,2019-11-15,1:00 PM,1,MAIN STAGE,100,1AM17CS107,,MAIN STAGE,1,PURPLE
E1007,hackaton,2019-11-15,11:00 AM,1,202,100,1AM17CS108,,TECHNICAL,2,BLACK
E1008,treasure hunt,2019-11-15,12:00 PM,1,203,100,1AM17CS109,,OFF STAGE,2,INDIGO
E1009,beg borrow steel,2019-11-15,1:00 PM,1,204,100,1AM17CS110,,OFF STAGE,4,BROWN
E1010,sports,2019-11-15,10:00 AM,1,MAIN GROUND,200,1AM17CS111,,SPORTS,11,PINK
E1011,sketching,2019-11-15,2:00 PM,1,205,100,1AM17CS112,,OFF STAGE,1,GREY
E1012,mad ads,2019-11-15,3:00 PM,1,MAIN STAGE,200,1AM17CS113,,MAIN STAGE,5,DARK BLUE
